Country Name,Country Code,Series Name,Series Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,CHN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7.5541E+12,8.27558E+12,8.92635E+12,9.61958E+12,1.03339E+13,1.10616E+13,1.18191E+13,1.26402E+13,1.34934E+13,1.42963E+13,1.46165E+13
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5647.058752,6152.686005,6591.650851,7056.410627,7532.771996,8016.431435,8516.513699,9053.212733,9619.192484,10155.49294,10358.25945
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.73947515,1.665576053,1.693368163,1.702855096,1.728689068,1.750717767,1.770695719,1.74645507,1.739533683,1.727827863,1.798833505
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.10983774,70.05275998
China,CHN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.23068333,4.34274435,4.56584787,4.71490669,4.77790594,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077
Russian Federation,RUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.25066E+12,1.30444E+12,1.35693E+12,1.38075E+12,1.39092E+12,1.36348E+12,1.36612E+12,1.39106E+12,1.43012E+12,1.46155E+12,1.42262E+12
Russian Federation,RUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8755.113281,9124.467773,9475.682617,9621.509766,9520.94043,9313.013672,9313.967773,9473.179688,9739.900391,9958.460938,9713.368164
Russian Federation,RUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.585085721,3.433043838,3.689240435,3.854042583,4.112992978,4.871514747,5.425147705,4.248996052,3.692518759,3.832115681,4.263449836
Russian Federation,RUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,49,58,66,67.97,70.52,70.09924123,73.09143462,76.00813853,80.86472187,82.64216156,84.99467026
Russian Federation,RUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.97111845,4.79491472,4.93637609,5.08104849,5.18209696,5.29604387,5.28970242,5.35889769,5.35520792,5.64849138,..
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.84121951,69.68390244,70.07219512,70.57878049,70.74365854,71.18341463,71.65121951,72.45146341,72.66219512,73.08390244,71.33878049
United States,USA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.6383E+13,1.6637E+13,1.70164E+13,1.73298E+13,1.77263E+13,1.8206E+13,1.85096E+13,1.89246E+13,1.9482E+13,1.9929E+13,1.93774E+13
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,52963.46417,53394.86184,54213.45955,54830.78407,55675.38685,56762.72945,57292.53878,58207.57831,59607.39366,60698.0113,58453.44613
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.922641677,4.840173995,4.477401219,4.046678879,3.69589465,3.477845166,3.413464208,3.309387532,3.311158561,3.42619487,3.717885064
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.69,69.72946076,74.7,71.4,73,74.55420245,85.54442129,87.27488917,88.49890317,89.43028486,90.9
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,16.25922203,16.1985054,16.17543411,16.06451797,16.25333214,16.52407265,16.84432411,16.80583572,16.68710518,16.76706314,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,77.2804878
United Kingdom,GBR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.66041E+12,2.68881E+12,2.72776E+12,2.7774E+12,2.86627E+12,2.93486E+12,2.9984E+12,3.07167E+12,3.12404E+12,3.17416E+12,2.82403E+12
