ID,CName,CCode,Year,GDP,GDPPC,MilExpPerc,MilExpFact,IntUsePerc,IntUseFact,HealthExpPerc,LifeExp
1,China,CHN,2010,7554100000000,5647.058752,1.73947515,Low,34.3,Low,4.23068333,75.599
2,China,CHN,2011,8275580000000,6152.686005,1.665576053,Low,38.3,Low,4.34274435,75.903
3,China,CHN,2012,8926350000000,6591.650851,1.693368163,Low,42.30011749,Low,4.56584787,76.192
4,China,CHN,2013,9619580000000,7056.410627,1.702855096,Low,45.8,Low,4.71490669,76.452
5,China,CHN,2014,10333900000000,7532.771996,1.728689068,Low,47.9,Low,4.77790594,76.717
6,China,CHN,2015,11061600000000,8016.431435,1.750717767,Low,50.3,Low,4.93827963,76.977
7,China,CHN,2016,11819100000000,8516.513699,1.770695719,Low,53.2,Low,4.97955608,77.218
8,China,CHN,2017,12640200000000,9053.212733,1.74645507,Low,54.3,Low,5.06592178,77.248
9,China,CHN,2018,13493400000000,9619.192484,1.739533683,Low,59.2,Low,5.16790485,77.744
10,China,CHN,2019,14296300000000,10155.49294,1.727827863,Low,64.10983774,Low,5.3502779,77.968
11,China,CHN,2020,14616500000000,10358.25945,1.798833505,Low,70.05275998,Low,-99,78.077
12,Russian Federation,RUS,2010,1250660000000,8755.113281,3.585085721,High,49,Low,4.97111845,68.84121951
13,Russian Federation,RUS,2011,1304440000000,9124.467773,3.433043838,High,58,Low,4.79491472,69.68390244
14,Russian Federation,RUS,2012,1356930000000,9475.682617,3.689240435,High,66,Low,4.93637609,70.07219512
15,Russian Federation,RUS,2013,1380750000000,9621.509766,3.854042583,High,67.97,Low,5.08104849,70.57878049
16,Russian Federation,RUS,2014,1390920000000,9520.94043,4.112992978,High,70.52,Low,5.18209696,70.74365854
17,Russian Federation,RUS,2015,1363480000000,9313.013672,4.871514747,High,70.09924123,Low,5.29604387,71.18341463
18,Russian Federation,RUS,2016,1366120000000,9313.967773,5.425147705,High,73.09143462,Low,5.28970242,71.65121951
19,Russian Federation,RUS,2017,1391060000000,9473.179688,4.248996052,High,76.00813853,Low,5.35889769,72.45146341
20,Russian Federation,RUS,2018,1430120000000,9739.900391,3.692518759,High,80.86472187,High,5.35520792,72.66219512
21,Russian Federation,RUS,2019,1461550000000,9958.460938,3.832115681,High,82.64216156,High,5.64849138,73.08390244
22,Russian Federation,RUS,2020,1422620000000,9713.368164,4.263449836,High,84.99467026,High,-99,71.33878049
23,United States,USA,2010,16383000000000,52963.46417,4.922641677,High,71.69,Low,16.25922203,78.54146341
24,United States,USA,2011,16637000000000,53394.86184,4.840173995,High,69.72946076,Low,16.1985054,78.64146341
25,United States,USA,2012,17016400000000,54213.45955,4.477401219,High,74.7,Low,16.17543411,78.74146341
26,United States,USA,2013,17329800000000,54830.78407,4.046678879,High,71.4,Low,16.06451797,78.74146341
27,United States,USA,2014,17726300000000,55675.38685,3.69589465,High,73,Low,16.25333214,78.84146341
28,United States,USA,2015,18206000000000,56762.72945,3.477845166,High,74.55420245,Low,16.52407265,78.6902439
29,United States,USA,2016,18509600000000,57292.53878,3.413464208,High,85.54442129,High,16.84432411,78.53902439
30,United States,USA,2017,18924600000000,58207.57831,3.309387532,High,87.27488917,High,16.80583572,78.53902439
31,United States,USA,2018,19482000000000,59607.39366,3.311158561,High,88.49890317,High,16.68710518,78.63902439
32,United States,USA,2019,19929000000000,60698.0113,3.42619487,High,89.43028486,High,16.76706314,78.78780488
33,United States,USA,2020,19377400000000,58453.44613,3.717885064,High,90.9,High,-99,77.2804878
34,United Kingdom,GBR,2010,2660410000000,42385.86022,2.568295876,Mid,85,High,9.83532333,80.40243902
35,United Kingdom,GBR,2011,2688810000000,42504.89635,2.488683027,Mid,85.37999855,High,9.84848499,80.95121951
36,United Kingdom,GBR,2012,2727760000000,42821.76128,2.40708633,Mid,87.47999842,High,9.91419888,80.90487805
37,United Kingdom,GBR,2013,2777400000000,43310.02056,2.277243346,Mid,89.8441,High,9.97566223,81.00487805
38,United Kingdom,GBR,2014,2866270000000,44367.853,2.168594616,Mid,91.61,High,9.95041275,81.30487805
39,United Kingdom,GBR,2015,2934860000000,45071.07432,2.029044773,Mid,92.00029987,High,9.90072441,80.95609756
